ANIO,ENTIDAD_FEDERATIVA,CREDITO_TRADICIONAL
2019,DURANGO,966
2019,GUANAJUATO,1441
2019,GUERRERO,1873
2019,HIDALGO,2939
2019,JALISCO,1064
2019,MEXICO,3404
2019,MICHOACAN,1561
2019,MORELOS,2079
2019,NAYARIT,757
2019,NUEVO LEON,1067
2019,OAXACA,1255
2019,PUEBLA,1646
2019,QUERETARO,965
2019,QUINTANA ROO,1368
2019,SAN LUIS POTOSI,1094
2019,SINALOA,1329
2019,SONORA,1037
2019,TABASCO,831
2019,TAMAULIPAS,1376
2019,TLAXCALA,548
2019,VERACRUZ,3384
2019,YUCATAN,1322
2019,ZACATECAS,579
2020,AGUASCALIENTES,552
2020,BAJA CALIFORNIA,377
2020,BAJA CALIFORNIA SUR,586
2020,CAMPECHE,333
2020,CHIAPAS,1576
2020,CHIHUAHUA,1181
2020,CIUDAD DE MEXICO,1693
2020,COAHUILA,836
2020,COLIMA,418
2020,DURANGO,653
2020,GUANAJUATO,1139
2020,GUERRERO,1289
2020,HIDALGO,2335
2020,JALISCO,767
2020,MEXICO,2567
2020,MICHOACAN,1201
2020,MORELOS,1579
2020,NAYARIT,463
2020,NUEVO LEON,733
2020,OAXACA,942
2020,PUEBLA,1407
2020,QUERETARO,733
2020,QUINTANA ROO,1127
2020,SAN LUIS POTOSI,885
2020,SINALOA,1117
2020,SONORA,712
2020,TABASCO,518
2020,TAMAULIPAS,1028
2020,TLAXCALA,493
2020,VERACRUZ,2628
2020,YUCATAN,856
2020,ZACATECAS,375
