ANIO,ENTIDAD_FEDERATIVA,CREDITO_PENSIONADOS
2020,GUANAJUATO,17
2020,GUERRERO,22
2020,HIDALGO,17
2020,JALISCO,14
2020,MEXICO,9
2020,MICHOACAN,17
2020,MORELOS,13
2020,NAYARIT,10
2020,NUEVO LEON,5
2020,OAXACA,19
2020,PUEBLA,16
2020,QUERETARO,14
2020,QUINTANA ROO,12
2020,SAN LUIS POTOSI,9
2020,SINALOA,14
2020,SONORA,7
2020,TABASCO,1
2020,TAMAULIPAS,27
2020,TLAXCALA,4
2020,VERACRUZ,50
2020,YUCATAN,20
2020,ZACATECAS,8
